,title,description,directed_by,written_by,produced_by,starring,cinematography,edited_by,release_date,country,language
1346,Looking Through Water,"Looking Through Water is a 2025 American drama film directed by Roberto Sneider, written by Zach Dean and Rowdy Herrington, and starring Michael Stahl-David, David Morse, Cameron Douglas, Walker Scobell, and Michael Douglas. It is based on Bob Rich's 2015 novel Looking Through Water and his 2025 memoir Catching Big Fish.",Roberto Sneider,,"Eric Scott Woods, Carla Woods, Robert Mitas, Stan Spry","Michael Stahl-David, David Morse, Cameron Douglas, Walker Scobell, Michael Douglas",Serguei Saldívar,Yang-Hua Hu,"September 12, 2025",United States,English
1347,Looney Tunes Collector's Vault,"Unlike the previous Collector's Choice series - which only contained a single disc with 25 cartoons - Collector's Vault contains two discs with 50 cartoons (51 on Volume 2). Volume 1, released on June 17, 2025,[1] contains 24 shorts never-before-remastered on DVD or Blu-ray (and one double-dip) on the first disc, and 25 shorts previously released on DVD making their Blu-ray debut on the second disc.[2][3][4] Volume 2, released on March 24, 2026, contains 26 shorts never-before-remastered on DVD or Blu-ray on the first disc and 25 shorts previously released on DVD making their Blu-ray debut on the second disc.[5]","Chuck Jones, Friz Freleng, Robert McKimson, Tex Avery, Arthur Davis, Bob Clampett, Ben Hardaway, Cal Dalton",,"Leon Schlesinger, Eddie Selzer, John W. Burton",Mel Blanc,,,"June 17, 2025",United States,English
1348,A Loose End,"The film was produced by Cordón Films (Uruguay), Wanka Cine (Argentina), and Nephilim Producciones (Spain).[2] It was shot between April and May 2024, in Uruguayan locations including Fray Bentos, Montevideo and Mercedes.[3] In 2024, during its development stage, the project received the WIP Latam Industry Award at the 72nd San Sebastián International Film Festival.[4]",Daniel Hendler,Daniel Hendler,"Fabrice Preel-Cleach, Emmanuelle Latourrette","Sergio Prina, [, es, ]",Gustavo Biazzi,Nicolás Goldbart,3 September 2025(Venice),"Uruguay, Argentina, Spain",Spanish
1349,Loot: A Story of Crime and Redemption,"The documentary follows Cambodia’s efforts to recover looted cultural artifacts, tracing a path from temple ruins in Cambodia to museums in London and New York. It highlights the disparity between local villagers who participated in the looting and the collectors and institutions who profited from the trade. Produced by New Theory Pictures (Canada), the film premiered at the International Festival of Films on Art (FIFA) in Montreal and was later acquired by Jambika Docs.[1]",Don Millar,,"Cole Northey, Don Millar, Eric Hogan",,Peter Lee,"Nick Ogden, Nicholas T. Shepard",15 March 2025(International Festival of Films on Art),Canada,"English, Khmer"
1350,The Lost Bus,"The Lost Bus is a 2025 American survival drama film directed by Paul Greengrass, who co-wrote the screenplay with Brad Ingelsby based on the 2021 book Paradise by Lizzie Johnson. It stars Matthew McConaughey, America Ferrera, Yul Vazquez and Ashlie Atkinson. It portrays a fictionalized version of the evacuation of schoolchildren during the 2018 Camp Fire in northern California by bus driver Kevin McKay and teacher Mary Ludwig.[2]",Paul Greengrass,,"Jamie Lee Curtis, Jason Blum, Brad Ingelsby, Gregory Goodman","Matthew McConaughey, America Ferrera, Yul Vazquez, Ashlie Atkinson, Katie Wharton",Pål Ulvik Rokseth,"William Goldenberg, Paul Rubell, Peter M. Dudgeon","September 5, 2025(TIFF)",United States,English
1351,Lost in Starlight,Lost in Starlight (Korean: 이 별에 필요한; RR: I byeore piryohan) is a 2025 South Korean animated science fiction romance film directed by Han Ji-won and features the voices of Kim Tae-ri and Hong Kyung.[2][3][4],Han Ji-won,,,"Kim Tae-ri, Hong Kyung",,,"May 30, 2025",South Korea,"Korean, English"
1352,Lost in the Jungle,"Lost in the Jungle is a 2025 American documentary film about four siblings who survived 40 days in the Colombian jungle after a plane crash.[1][2] It is directed by Jimmy Chin, Elizabeth Chai Vasarhelyi and Juan Camilo Cruz.","Jimmy Chin, Elizabeth Chai Vasarhelyi, Juan Camilo Cruz",,"Elizabeth Chai Vasarhelyi, Jimmy Chin, Juan Camilo Cruz, Mark Grieco, Anna Barnes, Simon Chinn, Jonathan Chinn, Guillermo Galdos",,Max Preiss,"Deborah Dickson, Flavia De Souza","August 30, 2025(Telluride)",United States,English
1353,Lost in the Spotlight,It had its world premiere at the 20th Jogja-NETPAC Asian Film Festival on 2 December 2025. It was released on Netflix on 11 December 2025.,Ernest Prakasa,Ernest Prakasa,"Dipa Andika, Nurita Anandia",Vino G. Bastian,Bella Panggabean,Ryan Purwoko,2 December 2025(Jogja),Indonesia,Indonesian
1354,Lost Land,"Lost Land (Rohingya: Harà Watan) is 2025 drama film written and directed by Akio Fujimoto. It follows four-year-old Shafi and his nine-year-old sister Somira, Rohingya refugees, who embark on a perilous journey from a refugee camp in Bangladesh to Malaysia to reunite with their family.[1][2][3]",Akio Fujimoto,Akio Fujimoto,"Kazutaka Watanabe, Angèle de Lorme, Sujauddin Karimuddin, Elise Shick, Christian Jilka","Shomira Rias, Uddin Muhammad, Shofik Rias Uddin",Yoshio Kitagawa,,1 September 2025(Venice),"Japan, France, Malaysia, Germany","Rohingya, Malay"
1355,A Loud House Christmas Movie: Naughty or Nice,"Duncan is a Christmas elf who is stationed in Santa Claus' headquarters at the North Pole. One day, he and Santa are alerted to an alarm from the Technical Integrated Naughty/Nice Santa List (T.I.N.N.S.L.) that identifies Lincoln Loud as a ""Flipper"", someone who flips between naughty and nice, as its final analysis cannot determine if he should be put on the naughty or nice list. Despite his insistence that he is not ready, Duncan is sent to Royal Woods to spy on Lincoln, who wishes for a Rip Hardcore multi-tool.",,,,,,,,,
1356,The Ultra Zionists (2011),,Josh Baker,Louis Theroux,"Sara Obeidat, Matan Cohen",Louis Theroux,,,"April 27, 20251",United Kingdom,English
1357,Love Guru,"Love Guru is a 2025 Pakistani romantic comedy film directed by Nadeem Baig and written by Vasay Chaudhry. Starring Humayun Saeed and Mahira Khan, the story follows a ""love guru"", a flirtatious man who is hired by a father to woo his daughter and prevent her marriage.",Nadeem Baig,,"Humayun Saeed, Jarjees Seja, Shahzad Nasib","Humayun Saeed, Mahira Khan",Suleman Razzaq,Rizwan AQ,6 June 2025,Pakistan,Urdu
1358,Love Hurts,"Love Hurts is a 2025 American action comedy film directed by Jonathan Eusebio, in his directorial debut, and written by Matthew Murray, Josh Stoddard, and Luke Passmore. The film stars Ke Huy Quan, Ariana DeBose, Daniel Wu, Mustafa Shakir, Lio Tipton, Cam Gigandet, Marshawn Lynch, and Sean Astin. Its plot follows a former hitman-turned-realtor who learns that his brother is hunting him when he reunites with his former partner.",Jonathan Eusebio,"Matthew Murray, Josh Stoddard, Luke Passmore","Kelly McCormick, David Leitch, Guy Danella","Ke Huy Quan, Ariana DeBose, Daniel Wu, Mustafa Shakir, Lio Tipton, Cam Gigandet, Marshawn Lynch, Sean Astin",Bridger Nielson,Elísabet Ronaldsdóttir,"February 7, 2025",United States,English
1359,Love in Vietnam,"Love in Vietnam (Vietnamese: Vạn dặm yêu em, old title: Yêu từ cái nhìn đầu tiên)[5] is a 2025 Indian-Vietnamese romantic drama film written and directed by Rahat Shah Kazmi.[6] The film is produced by Captain Rahul Bali, Omung Kumar and Rahat Shah Kazmi. It is based on the novel Madonna in a Fur Coat, and features Shantanu Maheshwari, Avneet Kaur and Khả Ngân with legendary actors Raj Babbar, Farida Jalal and Gulshan Grover in supporting roles. [7]",Rahat Shah Kazmi,,"Captain Rahul Bali, Omung Kumar, Rahhat Shah Kazmi, Sarvesh Goel, Pankaj Chauhan, Muhammad Antulay, Saahil Sheikh, Abhishek Ankur, Tariq Khan, Zeba Sajid","Shantanu Maheshwari, Avneet Kaur, Khả Ngân, [, vi, ]",Dudley,Sanjay Sankla,1 July 2025(DANAFF),"India, Vietnam","Hindi, Vietnamese"
1360,Love Is the Monster,"Love Is the Monster is a 2025 horror thriller film written and directed by Alex Noyer. It tells the story of troubled couples who head to a groundbreaking retreat in Finland, where they fall prey to a malevolent ancient goddess of love. The film stars Madeline Zima, Leonardo Nam, Kristina Tonteri-Young, and Sheila McCarthy.",Alex Noyer,"Alex Noyer, Hannu Aukia, Blair Bathory","Laurence Gendron, Alex Noyer, Hannu Aukia","Madeline Zima, Leonardo Nam, Kimberly-Sue Murray, Moe Jeudy-Lamour, Kristina Tonteri-Young, Milla Puolakanaho, Sheila McCarthy",Russ De Jong,Hannu Aukia,"October 13, 2025(Screamfest)","United States, Finland, Canada",English
1361,Love Live! Nijigasaki High School Idol Club,"Love Live! Nijigasaki High School Idol Club[a] is a Japanese multimedia spin-off project from the Love Live! series and its game series Love Live! School Idol Festival. It was first introduced in 2017 as ""Perfect Dream Project"" and was initially created as part of the game Love Live! School Idol Festival All Stars.[1] Unlike μ's and Aqours, the previous groups from the franchise, they are a group of individual school idols who compete with each other while working together to keep their school idol club alive. Together, they are referred as the Nijigasaki High School Idol Club.[b]",,,,,,,,,
1362,Love Marriage,"Love Marriage is a 2025 Indian Tamil-language romantic comedy film written and directed by Shanmuga Priyan in his directorial debut.[1] Produced by Dr. Swetha Shri and Sreenidhi Sagar[2] under the banners Assure Films and Rise East Entertainment respectively, the film stars Vikram Prabhu, Sushmitha Bhat (in her Tamil debut) and Meenakshi Dinesh in the lead roles.[3] The film is a remake of the Telugu film Ashoka Vanamlo Arjuna Kalyanam (2022).[4]",Shanmuga Priyan,Shanmuga Priyan,"Dr. Swetha Shri, Sreenidhi Sagar","Vikram Prabhu, Sushmitha Bhat, Meenakshi Dinesh",Madhan Christopher,Barath Vikraman,27 June 2025,India,Tamil
1363,Love Me Tender,"The film had its world premiere at the Un Certain Regard section of the 78th Cannes Film Festival on 20 May 2025, where it was also nominated for the Queer Palm.",Anna Cazenave Cambet,Anna Cazenave Cambet,"Raphaëlle Delauche, Nicolas Sanfaute","Vicky Krieps, Antoine Reinartz, Viggo Ferreira-Redier, Monia Chokri",Kristy Baboul,Joris Laquittant,20 May 2025(Cannes),France,French
1364,Love on Trial,The film had its world premiere at the Cannes Premiere section of the 78th Cannes Film Festival on 22 May 2025. It was theatrically released in Japan on 26 January 2026 by Toho.,Koji Fukada,"Koji Fukada, Shintaro Mitani","Shin Yamaguchi, Yoko Abe, Atsuko Ôno","Kyōko Saitō, Erika Karata, Kenjiro Tsuda",Hidetoshi Shinomiya,Sylvie Lager,22 May 2025(Cannes),"Japan, France",Japanese
1365,Love OTP,"Love OTP is a 2025 Indian romantic drama film written and directed by Aniissh Tejeshwar, who also plays the lead role alongside Rajeev Kanakala, Swaroopinii and Jahnvika Kalakeri.[1] Produced by Vijay M Reddy under Bhavaprita Productions, the film explores modern relationships and emotional boundaries.",Aniissh Tejeshwar,Aniissh Tejeshwar,Vijay M Reddy,"Aniissh Tejeshwar, Rajeev Kanakala, Swaroopinii, Jahnvika Kalakeri",Harsha Vardhan K,Sharath Kumar,14 November 2025,India,"Kannada, Telugu"
1366,The Love That Remains,"The Love That Remains (Icelandic: Ástin Sem Eftir Er) is a 2025 comedy-drama written and directed by Hlynur Pálmason. Starring Saga Garðarsdóttir and Sverrir Guðnason,[3] it follows a year in the life of an Icelandic family as the parents separate.[4][5]",Hlynur Pálmason,,"Rémi Burah, Katrin Pors, Anton Máni Svansson","Saga Garðarsdóttir, Sverrir Gudnason, Ída Mekkín Hlynsdóttir, Þorgils Hlynsson, Grímur Hlynsson",Hlynur Pálmason,Julius Krebs Damsbo,18 May 2025(Cannes),"Iceland, Denmark, France, Finland, Sweden",Icelandic
1367,Love U Muddu,"Love U Muddu is a 2025 Kannada language romantic drama film written and directed by Kumaar L.[1] The film is produced by Kishan T. N under his banner Kishan Enterprises.[2] The film stars Siddu Moolimani and Reshmaa in the lead roles along with Rajesh Nataranga, Tabla Nani and Girish Subbaiah in key supporting roles.[3] The music for the film is composed by Aniruddha Sastry and cinematography is by Krishna Deepak.",Kumaar L,Kumaar L,Kishan T. N.,"Siddu Moolimani, Reshmaa L, Rajesh Nataranga, Tabla Nani",Krishna Deepak,C. S. Deepu,7 November 2025,India,Kannada
1368,Love Untangled,"In 1999, nineteen-year-old girl Park Se-ri is about to make the most important confession of her life. As she plans to straighten her lifelong complex, her severely curly hair, she gets entangled with a transfer student named Han Yoon-seok, leading to a youthful romance.",Namkoong Sun,"Ji Chun-hee, Wang Doo-ri",Lee Kang-jin,"Gong Myung, Shin Eun-soo, Cha Woo-min, Yoon Sang-hyeon, Kang Mi-na",Kim Il-hyun,Lee Kang-hee,"August 29, 2025",South Korea,Korean
1369,Love You So Bad,"Love You So Bad is a 2025 Philippine romance film directed by Mae Cruz-Alviar from a story concept she co-wrote with Maren Kyle R. Loreño, Vanessa R. Valdez (who also served as producer), and Crystal Hazel S. San Miguel, who solely wrote the screenplay. Featuring an entirely new set of characters and storyline that are inspired by the 1998 film Dahil Mahal Na Mahal Kita, the film stars Will Ashley, Bianca de Vera, and Dustin Yu.[2]",Mae Cruz-Alviar,,Vanessa R. Valdez,"Will Ashley, Bianca de Vera, Dustin Yu",Zach Sycip,Marya Ignacio,"December 25, 2025",Philippines,Filipino
1370,"Love, Brooklyn","Love, Brooklyn is a 2025 American drama film, directed by Rachael Abigail Holder, in her directorial debut, from a screenplay by Paul Zimmerman. It stars André Holland, Nicole Beharie, DeWanda Wise, Roy Wood Jr., Cassandra Freeman and Cadence Reese. Steven Soderbergh serves as an executive producer.",Rachael Abigail Holder,Paul Zimmerman,"André Holland, Kate Sharp, Patrick Wengler, Maurice Anderson, Liza Zusman","André Holland, Nicole Beharie, DeWanda Wise, Roy Wood Jr., Cassandra Freeman, Cadence Reese",Martim Vian,Shawn Paper,"January 27, 2025(Sundance)",United States,English
1371,Love+War,Love+War is a 2025 American documentary film directed and produced by Elizabeth Chai Vasarhelyi and Jimmy Chin. It explores the life and career of photojournalist Lynsey Addario.,"Elizabeth Chai Vasarhelyi, Jimmy Chin",,"Elizabeth Chai Vasarhelyi, Jimmy Chin, Shannon Dill, Anna Barnes",,Thorsten Thielow,"Keiko Deguchi, Hypatia Porter","September 7, 2025(TIFF)",United States,"English, Ukrainian"
1372,Lovely,"Lovely is a 2025 Indian Malayalam-language fantasy comedy  film written and directed by Dileesh Nair. The film stars Mathew Thomas, Sivaangi Krishnakumar, and Manoj K. Jayan.[1][2]",Dileesh Nair,Dileesh Nair,"Saranya, Dr. Amar Ramachandran","Mathew Thomas, Sivaangi Krishnakumar, Manoj K. Jayan",Aashiq Abu,Kiran Das,16 May 2025,India,Malayalam
1373,Lovely Day,"The cast also includes Hassan Mahbouba, Hiam Abou Chedid, Georges Khabbaz, Peter-Joe Salameh, Farès Chaanebi, Rose-Anne Déry, Paul Ahmarani, Paul Doucet, Natalie Tannous, Ilyes Tarmasti, Electra Codina Morelli and Bilal Baoui in supporting roles.",Philippe Falardeau,Philippe Falardeau,"Luc Déry, Kim McCraw","Neil Elias, Rose-Marie Perreault",André Turpin,Elric Robichon,"September 5, 2025(TIFF)",Canada,"French, English, [, 1, ], Arabic, [, 1, ]"
1374,Loveyapa,"Loveyapa is a 2025 Indian Hindi-language romantic comedy film directed by Advait Chandan. A remake of the 2022 Tamil film Love Today, it stars Khushi Kapoor and Junaid Khan. It tells the story of a young couple who are forced to swap their phones before getting married.",Advait Chandan,,"Kalpathi S. Aghoram, Kalpathi S. Ganesh, Kalpathi S. Suresh, Pradeep Ranganathan, Madhu Mantena, Bhavna Talwar, Shristi Behl Arya","Khushi Kapoor, Junaid Khan",Rajesh Nare,Antara Lahiri,7 February 2025,India,Hindi
1375,Lucca's World,"Lucca's World (Spanish: Los dos hemisferios de Lucca) is a 2025 Mexican drama film directed by Mariana Chenillo. The film stars Bárbara Mori as Bárbara Anderson, a mother of a child with cerebral palsy. Based on actual events and a book of the same name, the film details Anderson’s efforts to secure medical treatment for her son, Lucca, after he received a serious diagnosis. It examines the challenges faced by individuals with disabilities and their caregivers and portrays the role of family support.[1]",Mariana Chenillo,"Javier Peñalosa, Marina Chenillo","Rafael Ley, Mónica Vertiz, Ximena Castro","Bárbara Mori, Julián Tello, Juan Pablo Medina",,,"January 31, 2025",Mexico,Spanish
1376,Lucid,"The full-length directorial debut for both Fendall and Milligan, a married couple, it is an expansion of their 2021 short film of the same title.[3]","Ramsey Fendall, Deanna Milligan","Ramsey Fendall, Deanna Milligan","Ramsey Fendall, Deanna Milligan, Emanuel Foucault","Caitlin Taylor, Vivian Vanderpuss",Ramsey Fendall,"Ramsey Fendall, Deanna Milligan","July 21, 2025(Fantasia)",Canada,English
1377,Lucky Lu,"Lucky Lu is a 2025 drama film written and directed by Lloyd Lee Choi, in his feature film directorial debut. Adapted from Choi's 2022 short film Same Old, it stars Chang Chen, Fala Chen, and Carabelle Manna Wei.",Lloyd Lee Choi,Lloyd Lee Choi,"Destin Daniel Cretton, Nina Yang Bongiovi, Asher Goldstein, Tony Yang, Ron Najor, Jeyun Munford","Chang Chen, Fala Chen, Carabelle Manna Wei",Norm Li,Brendan Mills,"May 19, 2025(Cannes)","Canada, United States",English
1378,Luger,Luger is a 2025 Spanish independent action thriller film directed by Bruno Martín in his debut feature starring David Sainz and Mario Mayo.,Bruno Martín,,"José Luis Rancaño, Bruno Martín","David Sainz, Mario Mayo",David Hebrero,Bruno Martín,20 September 2025(Fantastic Fest),Spain,Spanish
1379,The Luminous Life,The Luminous Life (Portuguese: A Vida Luminosa) is a 2025  Portuguese drama film written and directed by João Rosas in his feature directorial debut. It was released theatrically on 26 June 2025. It had its premiere at the IndieLisboa International Independent Film Festival on 7 May 2025.  It was released theatrically on 26 June 2025.,João Rosas,João Rosas,Pedro Borges,"Francisco Melo, Cécile Matignon, Federica Balbi, Gemma Tria, Ângela Ramos, Francisca Alarcão",Paulo Menezes,Luís Miguel Correia,7 May 2025(IndieLisboa International Independent Film Festival),"Portugal, France",Portuguese
1380,Lunatic: The Luna Vachon Story,The film premiered at the 2025 Canadian Film Festival.[3] It was later screened in the United States at Fantastic Fest.[4],Kate Kroll,,"Kate Kroll, Pasha Patriki, Michael Paszt",Luna Vachon,"Claire Sanford, Alysha Galbreath, Sarah Thomas Moffat",Aynsley Baldwin,"March 29, 2025(CFF)",Canada,English
1381,Lupin the IIIrd the Movie: The Immortal Bloodline,"Lupin the IIIrd the Movie: The Immortal Bloodline[a] is a 2025 Japanese animated film directed by Takeshi Koike from a screenplay by Yūya Takahashi [ja], based on the Lupin III manga series by Monkey Punch, serving as the thirteenth Lupin the Third film and the final entry in the Lupin the IIIrd saga. It reuses plot elements from the very first movie, The Mystery of Mamo, of which it serves as a prequel.",Takeshi Koike,,,"Kanichi Kurita, Akio Ōtsuka, Daisuke Namikawa, Miyuki Sawashiro, Koichi Yamadera, Kataoka Ainosuke VI, Aoi Morikawa",,,"June 27, 2025(Japan)",Japan,Japanese
1382,Lurker,"Lurker is a 2025 American psychological thriller film written and directed by Alex Russell. The film stars Théodore Pellerin, Archie Madekwe, Zack Fox, Havana Rose Liu, Wale Onayemi, Daniel Zolghadri and Sunny Suljic.",Alex Russell,Alex Russell,"Alex Orlovsky, Duncan Montgomery, Jack Selby, Galen Core, Olmo Schnabel, Francesco Melzi D'Eril, Marc Marrie, Charlie McDowell, Archie Madekwe","Théodore Pellerin, Archie Madekwe, Zack Fox, Havana Rose Liu, Wale Onayemi, Daniel Zolghadri, Sunny Suljic",Pat Scola,David Kashevaroff,"January 26, 2025(Sundance)",United States,English
1383,Luz,"The film follows the lives of two people. Wei searches for his estranged daughter, Fa, throughout Chongqing, and Ren, a gallerist in Hong Kong, contends with her ailing stepmother, Sabine, who lives in Paris. The two meet in a virtual reality world with a quest to capture an elusive, mystic deer, which unexpected sparks a journey of discovery and connection.[4]",Flora Lau,Flora Lau,"Yvette Tang, Flora Lau, Stephen Lam, Joseph Sinn Gi Chan","Isabelle Huppert, Sandrine Pinna, Guo Xiaodong, [, zh, ], Huang Lu, David Chiang, Deng Enxi",Benjamín Echazarreta,"Flora Lau, Fernando Epstein, Denis Bedlow",2025,"Hong Kong, China","Mandarin, French, English, Cantonese"
1384,The Lychee Road,"Set during the Tianbao era of the Tang dynasty, the film follows Li Shande, a low-ranking inspector who has spent 18 years toiling at the Bureau of Imperial Gardens in Chang’an, capital of the Tang Empire. One day, he is assigned what appears to be a moderately lucrative task: delivering lychees from Lingnan to Chang’an for the birthday of Yang Guifei, Emperor Xuanzong's favored consort. Initially viewing the assignment as an opportunity to help pay off his house mortgage, Li soon discovers that the word “preserved” on the edict has been surreptitiously pasted over the original word: “fresh.” Realizing that he has been made a scapegoat by his superior, Li attempts to refuse but is forced to accept the impossible mission. With the encouragement of his friend and fellow countryman Du Shaoling (who would immortalize Yang Guifei's fondness for lychees in his poem), Li bid farewell to his wife and daughter, setting out for Lingnan, some 5,000 li (2,500 km) away.",Da Peng,"Shen Yuyue, Dai Si'ao, Da Peng","Li Yaping, Zhang Bo","Da Peng, Bai Ke, Zhuang Dafei, Terrance Lau",Wang Boxue,"Tu Yiran, Huangzeng Hongchen","July 18, 2025",China,Mandarin
1385,LYF: Love Your Father,"LYF: Love Your Father is a 2025 Indian Telugu-language family drama film directed by Pavan Ketharaju[2] and produced by Annapareddy Samrajyam, Annapareddy Chetan Sai, Kishore Rathi, and Mahesh Rathi. Music by Mani Sharma.[3]",Pavan Ketharaju,Pavan Ketharaju,"Annapareddy Samrajyam, Annapareddy Chetan Sai, Kishore Rathi, Mahesh Rathi","Sri Harsha, S. P. Charan, Kashika Kapoor",Sam K Naidu,Devarampati Siva Rama Krishna,4 April 2025,India,Telugu
1386,M3GAN 2.0,"M3GAN 2.0 is a 2025 American science fiction action film written and directed by Gerard Johnstone from a story he co-wrote with Akela Cooper. A sequel to the 2022 film M3GAN and the second installment in the M3GAN franchise, the film stars Allison Williams, Violet McGraw, Ivanna Sakhno, and Jemaine Clement, with Amie Donald physically portraying M3GAN while Jenna Davis voices the character. Jason Blum and James Wan return as producers under their respective Blumhouse Productions and Atomic Monster companies. It follows M3GAN being rebuilt to combat a humanoid military robot built using M3GAN's technology that is attempting an AI takeover.",Gerard Johnstone,,"Jason Blum, James Wan, Allison Williams","Allison Williams, Violet McGraw, Ivanna Sakhno, Jemaine Clement",Toby Oliver,Jeff McEvoy,"June 24, 2025(New York City)",United States,English
1387,Maa,"Maa (transl. Mother) is a 2025 Indian Hindi-language mythological horror film directed by Vishal Furia. The film stars Kajol in the title role, alongside Ronit Roy, Indraneil Sengupta, and Kherin Sharma.[4] It is a spinoff to the 2024 film Shaitaan, being set in the same universe.[5] After her husband dies due to a supernatural cause, a mother and her daughter visit his ancestral village, only to discover a demonic curse that puts their lives at risk. The mother puts up a fight and defeats the demon even while making tough choices.[6] Maa was released theatrically on 27 June 2025.[7] It received mixed reviews from critics who widely praised Kajol's performance but criticised the script.[4]",Vishal Furia,,"Ajay Devgn, Jyoti Deshpande, Kumar Mangat Pathak","Kajol, Ronit Roy, Indraneil Sengupta, Kherin Sharma",Pushkar Singh,Sandeep Francis,27 June 2025,India,Hindi
1388,Maadan Kodai Vizha,"Maadan Kodai Vizha is a 2025 Indian Tamil-language drama film written and directed by R.Thangapandi. The film stars Gokul Gowtham and Sharumiishaa  in the lead roles, alongside Dr. Suria Narayanan, Supergood Subramani and Sripriya. The film was produced by Captain. Sivaprakasam Uthayasuriyan under the banner of Deiva Productions.[1]",R.Thangapandi,R.Thangapandi,Captain. Sivaprakasam Uthayasuriyan,"Gokul Gowtham, Sharumiishaa, Dr. Suria Narayanan",Chinraj Ram,Ravichandran R,14 March 2025,India,Tamil
1389,Maadeva,"Maadeva is a 2025 Indian Kannada-language action drama film directed and written by Naveen Reddy. B,[1] and produced by R. Keshava Devasandra. Set in the 1980s, the plot surrounds the backdrop of a jail and a train.[2] The film stars Vinod Prabhakar and Sonal Monteiro in lead roles, along with Srinagar Kitty, Shruti, Malashri and Achyuth Kumar in key supporting roles.",Naveen Reddy. B,Naveen Reddy. B,R. Keshava Devasandra,"Vinod Prabhakar, Sonal Monteiro, Srinagar Kitty",Balakrishna Thota,Vijay M. Kumar,6 June 2025,India,Kannada
1390,Maalik,"Maalik (transl. Master) is a 2025 Indian Hindi-language action thriller film directed by Pulkit and produced by Kumar Taurani and Jay Shewakramani.[4][5] The film stars Rajkummar Rao in the titular role, alongside Prosenjit Chatterjee and Manushi Chhillar.[5]",Pulkit,"Jyotsana Nath, Pulkit","Kumar Taurani, Jay Shewakramani","Rajkummar Rao, Prosenjit Chatterjee, Manushi Chhillar, Saurabh Shukla",Anuj Rakesh Dhawan,Zubin Sheikh,11 July 2025,India,Hindi
1391,Maaman,"Maaman (transl. Uncle)[a] is a 2025 Indian Tamil-language action drama film directed by Prasanth Pandiyaraj, from a story written by Soori, and produced by K. Kumar under Lark Studios. The film stars Soori, alongside Rajkiran, Aishwarya Lekshmi, Swasika, Bala Saravanan, Baba Bhaskar, Viji Chandrasekhar, Nikhila Sankar and Geetha Kailasam.[3]",Prasanth Pandiyaraj,,K. Kumar,"Soori, Rajkiran, Aishwarya Lekshmi, Swasika",Dinesh Purushothaman,Ganesh Siva,16 May 2025,India,Tamil
1392,Maareesan,"Maareesan (transl. Maricha or figuratively, imposter) is a 2025 Indian Tamil-language drama thriller film directed by Sudheesh Sankar, written by V. Krishna Moorthy, and produced by R. B. Choudary for Super Good Films. It stars Vadivelu and Fahadh Faasil. The film's music was composed by Yuvan Shankar Raja.",Sudheesh Sankar,V. Krishna Moorthy,R. B. Choudary,"Vadivelu, Fahadh Faasil",Kalaiselvan Sivaji,Sreejith Sarang,25 July 2025,India,Tamil
1393,Maargan,"Maargan is a 2025 Indian Tamil-language fantasy crime thriller film written, directed, and edited by Leo John Paul in his directorial debut, starring Vijay Antony and Ajay Dhishan. The film has music composed and produced by Vijay Antony himself under his Vijay Antony Film Corporation banner, while the cinematography is handled by Yuva S.",Leo John Paul,Leo John Paul,Fatima Vijay Antony,"Vijay Antony, Ajay Dhishan",S. Yuva,Leo John Paul,27 June 2025,India,Tamil
1394,Maayakoothu,Maayakoothu is a 2025 Indian Tamil-language crime drama fantasy film directed by A.R. Raghavendra.[1] The film is produced by Rahul Deva and Prasad Ramachandran under the banners Rahul Movie Makers and Abimanyu Creations.[2],A.R. Raghavendra,Nagarajan Kannan (Dialogues),"Rahul Deva, Prasad Ramachandran","Nagarajan Kannan, Delhi Ganesh, Mu Ramaswamy",Sundar Ram Krishnan,Nagooran Ramachandran,11 July 2025,India,Tamil
1395,Machante Maalakha,"Machante Maalakha is a 2025 Malayalam-language comedy drama film directed by Boban Samuel, written by Ajeesh P. Thomas and produced by Abraham Mathew under the banner of Abaam Movies.[1] The film stars Soubin Shahir, Dhyan Sreenivasan, Namitha Pramod and Dileesh Pothan in lead roles. The songs and background score were composed by Ouseppachan, while Vivekh Menon and Ratheesh Raj handled the cinematography and editing.[2]
Machante Maalakha was earlier scheduled to be released on 14 June 2024, but was postponed and then released on 27 February 2025.[3][4] The film received negative reviews from critics.",Boban Samuel,Ajeesh P. Thomas,Abraham Mathew,"Soubin Shahir, Dhyan Sreenivasan, Namitha Pramod, Dileesh Pothan",Vivekh Menon,Ratheesh Raj,27 February 2025,India,Malayalam
1396,"Mad Bills to Pay (or Destiny, dile que no soy malo)","Mad Bills to Pay (or Destiny, dile que no soy malo) is a 2025 American drama film written and directed by Joel Alfonso Vargas, in his directorial debut. It stars Juan Collado, Destiny Checho, Yohanna Florentino 
and Nathaly Navarro.",Joel Alfonso Vargas,Joel Alfonso Vargas,Paolo Maria Pedullà,"Juan Collado, Destiny Checho, Yohanna Florentino, Nathaly Navarro",Rufai Ajala,Irfan Van Tuijl,"January 26, 2025(Sundance)",United States,"English, Spanish"
